cont,name,formula,adduct,charge,mass
"1,8-Diazabicyclo[5.4.0]undec-7-ene",DBU,C9H16N2,[M+H],1,153.138625
4-Dimethylaminopyridin,DMAP,C7H10N2,[M+H],1,123.091674
Acetonitrile/Acetic Acid,ACN/AA,CH3CNCH3COOH,[M+H],1,102.054955
Acetonitrile/Acetic Acid,ACN/AA Na,CH3CNCH3COOH,[M+Na],1,124.036898
Acetonitrile/Formic Acid,ACN/FA,CH3CNHCOOH,[M+H],1,88.039304
Acetonitrile/Methanol,ACN/MeOH,CH3CNCH3OH,[M+H],1,74.06004
Acetonitrile/Methanol,ACN/MeOH Na,CH3CNCH3OH,[M+Na],1,96.041983
Behentrimonium chloride,BTAC-228-Cl,C25H54N,[M+],1,368.425077
Bis(2-ethylhexyl) adipate,DEHA,C22H42O4,[M+H],1,371.315586
Butylated hydroxyanisole,BHA,C11H16O2,[M+H],1,181.122306
Butylated hydroxyanisole,BHA Na,C11H16O2,[M+Na],1,203.104249
Butylated hydroxytoluene,BHT,C15H24O,[M+H],1,221.189991
Butylated hydroxytoluene,BHT Na,C15H24O,[M+Na],1,243.171935
CHAPS,CHAPS,C32H58N2O7S,[M+H],1,615.403749
DECYL-PEG,C12H26O2,C12H26O2,[M+H],1,203.200556
DECYL-PEG,C12H26O2 Na,C12H26O2,[M+Na],1,225.182499
DECYL-PEG,C12H26O2 NH4,C12H26O2,[M+NH4],1,220.227106
DECYL-PEG,C14H30O3,C14H30O3,[M+H],1,247.226771
DECYL-PEG,C14H30O3 Na,C14H30O3,[M+Na],1,269.208714
DECYL-PEG,C14H30O3 NH4,C14H30O3,[M+NH4],1,264.253321
DECYL-PEG,C16H34O4,C16H34O4,[M+H],1,291.252986
DECYL-PEG,C16H34O4 Na,C16H34O4,[M+Na],1,313.234929
DECYL-PEG,C16H34O4 NH4,C16H34O4,[M+NH4],1,308.279535
DECYL-PEG,C18H38O5,C18H38O5,[M+H],1,335.2792
DECYL-PEG,C18H38O5 Na,C18H38O5,[M+Na],1,357.261144
DECYL-PEG,C18H38O5 NH4,C18H38O5,[M+NH4],1,352.30575
DECYL-PEG,C20H42O6,C20H42O6,[M+H],1,379.305415
DECYL-PEG,C20H42O6 Na,C20H42O6,[M+Na],1,401.287358
DECYL-PEG,C20H42O6 NH4,C20H42O6,[M+NH4],1,396.331965
DECYL-PEG,C22H46O7,C22H46O7,[M+H],1,423.33163
DECYL-PEG,C22H46O7 Na,C22H46O7,[M+Na],1,445.313573
DECYL-PEG,C22H46O7 NH4,C22H46O7,[M+NH4],1,440.35818
DECYL-PEG,C24H50O8,C24H50O8,[M+H],1,467.357845
DECYL-PEG,C24H50O8 Na,C24H50O8,[M+Na],1,489.339788
DECYL-PEG,C24H50O8 NH4,C24H50O8,[M+NH4],1,484.384394
DECYL-PEG,C26H54O9,C26H54O9,[M+H],1,511.38406
DECYL-PEG,C26H54O9 Na,C26H54O9,[M+Na],1,533.366003
DECYL-PEG,C26H54O9 NH4,C26H54O9,[M+NH4],1,528.410609
DECYL-PEG,C28H58O10,C28H58O10,[M+H],1,555.410274
DECYL-PEG,C28H58O10 Na,C28H58O10,[M+Na],1,577.392217
DECYL-PEG,C28H58O10 NH4,C28H58O10,[M+NH4],1,572.436824
DECYL-PEG,C30H62O11,C30H62O11,[M+H],1,599.436489
DECYL-PEG,C30H62O11 Na,C30H62O11,[M+Na],1,621.418432
DECYL-PEG,C30H62O11 NH4,C30H62O11,[M+NH4],1,616.463039
DECYL-PEG,C32H66O12,C32H66O12,[M+H],1,643.462704
DECYL-PEG,C32H66O12 Na,C32H66O12,[M+Na],1,665.444647
DECYL-PEG,C32H66O12 NH4,C32H66O12,[M+NH4],1,660.489253
DECYL-PEG,C34H70O13,C34H70O13,[M+H],1,687.488919
DECYL-PEG,C34H70O13 Na,C34H70O13,[M+Na],1,709.470862
DECYL-PEG,C34H70O13 NH4,C34H70O13,[M+NH4],1,704.515468
DECYL-PEG,C36H74O14,C36H74O14,[M+H],1,731.515133
DECYL-PEG,C36H74O14 Na,C36H74O14,[M+Na],1,753.497077
DECYL-PEG,C36H74O14 NH4,C36H74O14,[M+NH4],1,748.541683
DECYL-PEG,C38H78O15,C38H78O15,[M+H],1,775.541348
DECYL-PEG,C38H78O15 Na,C38H78O15,[M+Na],1,797.523291
DECYL-PEG,C38H78O15 NH4,C38H78O15,[M+NH4],1,792.567898
DECYL-PEG,C40H82O16,C40H82O16,[M+H],1,819.567563
DECYL-PEG,C40H82O16 Na,C40H82O16,[M+Na],1,841.549506
DECYL-PEG,C40H82O16 NH4,C40H82O16,[M+NH4],1,836.594113
DECYL-PEG,C42H86O17,C42H86O17,[M+H],1,863.593778
DECYL-PEG,C42H86O17 Na,C42H86O17,[M+Na],1,885.575721
DECYL-PEG,C42H86O17 NH4,C42H86O17,[M+NH4],1,880.620327
DECYL-PEG,C44H90O18,C44H90O18,[M+H],1,907.619992
DECYL-PEG,C44H90O18 Na,C44H90O18,[M+Na],1,929.601936
DECYL-PEG,C44H90O18 NH4,C44H90O18,[M+NH4],1,924.646542
DECYL-PEG,C46H94O19,C46H94O19,[M+H],1,951.646207
DECYL-PEG,C46H94O19 Na,C46H94O19,[M+Na],1,973.62815
DECYL-PEG,C46H94O19 NH4,C46H94O19,[M+NH4],1,968.672757
DECYL-PEG,C48H98O20,C48H98O20,[M+H],1,995.672422
DECYL-PEG,C48H98O20 Na,C48H98O20,[M+Na],1,1017.654365
DECYL-PEG,C48H98O20 NH4,C48H98O20,[M+NH4],1,1012.698972
Denatonium,Bitrex,C21H28N2O,[M+H],1,325.22744
Dibutyl sebacate,DBS,C18H34O4,[M+H],1,315.252986
Dicyclohexylurea,2DCU,C26H48N4O2,[M+H],1,449.385003
Dicyclohexylurea,DCU,C13H24N2O,[M+H],1,225.196139
"Didodecyl 3,3'-thiodipropionate ",DDTDP ,C30H58O4S,[M+H],1,515.412857
"Didodecyl 3,3'-thiodipropionate ",DDTDP oxidized to sulfone,C30H58O6S,[M+H],1,547.402687
"Didodecyl 3,3'-thiodipropionate ",DDTDP oxidized to sulfoxide,C30H58O5S,[M+H],1,531.407772
"Didodecyl 3,3'-thiodipropionate ",DDTDP oxidized to sulfoxide - Na+,C30H58O5S,[M+Na],1,553.389715
Diethylene glycol monobutyl ether,2DGBE,C16H36O6,[M+H],1,325.258465
Diethylene glycol monobutyl ether,DGBE,C8H18O3,[M+H],1,163.132871
Dimethyl formamide,DMF,C3H7NO,[M+H],1,74.06004
Dimethylsulfoxide,2DMSO,C4H12O2S2,[M+H],1,157.035147
Dimethylsulfoxide,2DMSO Na,C4H12O2S2,[M+Na],1,179.01709
Dimethylsulfoxide,3DMSO Na,C6H18O3S3,[M+Na],1,257.031026
Dimethylsulfoxide,DMSO,C2H6OS,[M+H],1,79.021212
Dimethylsulfoxide,DMSO Na,C2H6OS,[M+Na],1,101.003155
Dimethylsulfoxide\acetonitrile,DMSO\ACN,C2H6OSCH3CN,[M+H],1,120.047761
Dimethylsulfoxide\acetonitrile,DMSO\ACN Na,C2H6OSCH3CN,[M+Na],1,142.029704
Dimethylsulfoxide\acetonitrile,DMSO\ACN NH4,C2H6OSCH3CN,[M+NH4],1,137.07431
